quantity,Price,SMC,Sales
540,90,35.91,1
540,90,39.69,1
540,72,35.712,1
540,72,35.712,1
250000,68,35.904,1
540,90,48.51,1
250000,68,38.352,1
25200,68,39.168,1
250000,68,39.712,1
250000,56,35.728,1
250000,56,35.728,1
410,155,59.055,1
410,155,59.055,1
400,155,59.055,1
10000,128,59.008,1
10000,128,59.008,1
10000,128,59.008,1
400,155,79.67,1
100000,98.4,59.04,1
100000,98.4,59.04,1
100000,98.4,59.04,1
10000,128,79.616,1
500000,93.6,59.0616,1
100000,98.4,79.6056,1
100000,77.5,63.86,1
500000,93.6,79.6536,1
60000,280,125.72,1
60000,164,126.28,1
60000,213,93.933,1
60000,146,93.878,1
503039,17,13.821,1
1767000,17,13.855,1
705386,17,14.399,1
800000,15.9,13.9602,1
305,1000,239,1
100,1000,293,1
100,1000,293,1
100,1000,293,1
10000,600,237.6,1
1024,600,292.8,1
1024,600,292.8,1
1024,600,292.8,1
50000,275,213.95,1
10240,375,292.875,1
10240,375,292.875,1
10240,375,292.875,1
60000,272,237.728,1
100000,272,237.728,1
60000,272,237.728,1
50000,272,237.728,1
50000,272,237.728,1
60000,272,238.816,1
50000,325,293.15,1
50048,325,293.15,1
50048,325,293.15,1
200,99,50.391,1
200,99,50.391,1
4800,72,40.032,1
5600,80,50.4,1
4800,80,50.4,1
173000,82,55.186,1
160505,82,55.186,1
47737,80,55.44,1
36905,71,42.103,1
160083,59,37.996,1
38000,71,46.079,1
38000,71,46.079,1
10164,71,46.079,1
10164,71,46.079,1
10164,71,46.079,1
10164,71,46.079,1
200,125,63.5,1
200,125,63.5,1
4800,90,50.04,1
5600,95,63.555,1
4800,95,63.555,1
123000,97,68.482,1
128404,97,68.482,1
38828,95,68.21,1
100000,154,77,1
150000,67,70.283,1
51200,67,70.484,1
127320,67,70.484,1
48600,67,71.69,1
5600,67,73.901,1
45769,67,73.901,1
29800,67,76.313,1
100000,67,76.916,1
54800,67,76.916,1
73652,67,76.916,1
74610,67,76.916,1
79200,67,79.328,1
112000,67,79.328,1
49200,57,70.11,1
2000,57,72.162,1
54011,57,72.162,1
22400,67,87.971,1
100000,72,32.256,1
100000,72,32.256,1
100000,69,31.395,1
5000,69,31.395,1
5000,69,31.395,1
5000,69,32.223,1
5000,69,32.292,1
100000,67,31.423,1
100000,67,31.423,1
100000,67,31.423,1
100000,67,32.227,1
100000,67,32.294,1
260,250,55,1
5070,195,54.795,1
25000,185,54.945,1
38700,78.5,64.841,1
114220,96.5,81.9285,1
190330,91,81.991,1
190330,91,81.991,1
36546,91,81.991,1
81566,78.5,74.889,1
192774,84,81.984,1
192774,84,81.984,1
38700,78.5,77.087,1
241472,84,83.412,1
241472,84,83.412,1
163390,84,83.58,1
38700,78.5,81.954,1
29040,81,49.248,1
27000,81,49.815,1
27000,81,49.815,1
10164,81,50.868,1
10164,81,50.868,1
49126,81,50.868,1
60000,88,55,1
60000,88,55,1
3500,88,55,1
60000,88,58.96,1
60000,88,58.96,1
40000,88,70.488,1
60000,88,71.192,1
40000,88,73.216,1
250,88,73.216,1
250,88,73.216,1
10000,112,56.112,1
10000,112,56.112,1
10000,112,56.112,1
25000,104,56.056,1
25000,104,56.056,1
25000,104,56.056,1
10000,112,61.376,1
3000,112,61.376,1
50000,97,56.066,1
50000,97,56.066,1
50000,97,56.066,1
20000,104,61.36,1
5000,104,61.36,1
10000,110,66,1
10000,110,66.22,1
50000,97,61.401,1
10000,97,61.401,1
20000,102,65.994,1
20000,102,66.198,1
10000,110,74.03,1
100000,90,61.38,1
50000,95,65.93,1
50000,95,66.215,1
20000,102,73.95,1
100000,88,65.912,1
100000,88,66.264,1
50000,95,74.005,1
100000,88,74.008,1
500,870,90.48,1
5000,870,90.48,1
2400,870,90.48,1
1000,870,90.48,1
3500,870,90.48,1
2500,870,91.35,1
5000,870,91.35,1
2500,870,91.35,1
5000,870,91.35,1
2500,870,91.35,1
5000,870,91.35,1
2500,870,91.35,1
5000,870,91.35,1
800,732,90.768,1
800,732,90.768,1
250504,63,41.391,1
250504,63,41.391,1
189456,52,41.288,1
165216,52,41.288,1
274272,52,41.288,1
165216,52,41.288,1
187344,52,41.288,1
189456,52,42.12,1
616812,50,40.8,1
372028,49,41.258,1
1000,290,78.3,1
1000,290,98.6,1
1000,290,98.6,1
10000,210,72.03,1
10000,210,78.33,1
10000,210,98.7,1
100000,150,72.15,1
100000,150,78.3,1
100000,150,98.7,1
500,400,147.6,1
1000,375,147.75,1
9000,375,147.75,1
50000,375,147.75,1
500,400,158.8,1
50000,375,151.125,1
50000,375,151.125,1
25000,355,147.68,1
1000,375,158.625,1
50000,355,150.875,1
50000,355,150.875,1
75000,175,109.2,1
80000,175,110.075,1
100000,155,110.05,1
80000,175,147.7,1
100000,155,147.56,1
1800,152,60.496,1
2025,152,66.272,1
940,103,60.564,1
940,102,60.69,1
23750,99,60.588,1
23750,99,60.588,1
17440,102,66.3,1
24300,99,66.33,1
6000,180,55.26,1
6000,180,55.26,1
6000,171,59.166,1
6000,171,59.166,1
6000,171,61.047,1
6000,153.2,55.152,1
6000,153,55.233,1
6000,147,55.272,1
6000,171,67.887,1
6000,139,55.183,1
6000,147,59.094,1
6000,147,59.094,1
300,210,86.31,1
6000,147,61.005,1
6000,150,62.55,1
100000,139,59.075,1
100000,139,59.075,1
6000,139,61.021,1
6000,171,75.753,1
41600,171,76.266,1
6000,147,67.767,1
800,180,86.4,1
6000,180,86.4,1
6000,180,86.4,1
6000,139,67.832,1
6000,147,75.852,1
6000,150,86.4,1
71000,40,23.44,1
4752,40,23.68,1
4752,40,23.68,1
132,40,23.68,1
1188,40,23.68,1
60000,40,24.04,1
60000,40,24.04,1
60000,40,24.04,1
5000,40,24.04,1
35000,40,24.04,1
48000,40,24.08,1
1188,40,24.44,1
48000,40,25.6,1
1188,40,25.6,1
132,40,25.6,1
13880,64,33.728,1
40000,62,33.728,1
78084,62,33.728,1
360000,65,36.92,1
81168,64,36.864,1
81168,64,36.864,1
14316,64,36.864,1
27200,65,37.57,1
360000,48.5,33.756,1
360000,50.5,36.865,1
360000,48.5,36.86,1
1200,311,39.186,1
1200,311,39.186,1
400,311,40.741,1
1600,311,40.741,1
10000,311,40.741,1
400,311,40.741,1
400,311,42.296,1
6400,311,42.296,1
15200,295,40.71,1
7200,311,46.961,1
2000,210,40.32,1
2000,210,40.32,1
400,100,53.5,1
1600,100,53.5,1
3600,100,53.5,1
400,100,53.5,1
1600,100,53.5,1
3600,100,53.5,1
5000,206,64.478,1
5000,200,70.8,1
360,186,80.166,1
360,186,80.166,1
360,186,80.166,1
5040,146.36,80.20528,1
5040,146.36,80.20528,1
5040,137,80.145,1
5040,137,80.145,1
40000,150,103.2,1
32101,150,103.2,1
8805,146.36,124.406,1
1894170,19,13.851,1
87000,18.2,14.3234,1
60000,17,14.127,1
124923,18,15.786,1
19194,225,95.4,1
100,225,95.4,1
5040,260,113.88,1
5040,260,113.88,1
5000,260,124.54,1
5000,260,124.54,1
25738,138,88.458,1
125,138,88.458,1
1200,1000,198,1
5000,900,180.9,1
10000,1000,215,1
10000,1000,215,1
5130,1000,279,1
1200,1000,279,1
1000,265,93.015,1
1000,265,93.015,1
1000,265,117.925,1
5000,195,92.82,1
5000,175,92.575,1
5000,175,92.925,1
15000,166,92.794,1
60000,165,92.565,1
60000,165,92.895,1
60000,165,92.895,1
5000,175,106.575,1
8000,175,110.775,1
120,397,110.366,1
120,289,93.925,1
120,397,138.95,1
5000,397,138.95,1
120,289,112.999,1
360,289,112.999,1
120,289,112.999,1
120,289,114.444,1
120,289,136.408,1
125000,196,93.884,1
125000,196,107.996,1
125000,196,107.996,1
5400,196,107.996,1
5040,196,109.76,1
125000,196,110.348,1
500000,145,93.96,1
500000,145,93.96,1
125000,196,136.416,1
500000,145,107.88,1
500000,145,107.88,1
500000,145,109.04,1
5000,210,85.89,1
25000,190,85.88,1
12874,129,62.178,1
39200,129,62.178,1
20000,129,63.468,1
132356,129,63.468,1
800,125,62.375,1
15000,125,62.375,1
40000,125,62.625,1
70000,125,62.625,1
70000,125,62.625,1
800,125,62.625,1
70000,125,62.625,1
20000,129,68.112,1
41644,125,68.125,1
200,125,68.125,1
75000,125,68.125,1
40000,125,68.125,1
51116,125,68.125,1
12874,129,72.498,1
14283,129,72.498,1
70000,103,62.418,1
28624,103,62.418,1
28624,103,68.083,1
15454,320,208.32,1
15454,230,165.83,1
100000,220,165,1
300000,215,164.905,1
500000,210,165.06,1
5000,265,210.94,1
15175,230,189.29,1
2546,230,192.74,1
19558,230,208.15,1
5000,230,208.15,1
15454,230,208.15,1
2546,230,208.15,1
15454,230,208.15,1
5000,225,211.05,1
1000,225,211.05,1
100000,220,208.34,1
300000,215,208.335,1
500000,210,208.32,1
500,260,57.46,1
250,200,63.4,1
250,200,77.2,1
10000,49,20.531,1
10000,49,20.531,1
10000,49,20.531,1
10000,49,20.531,1
3000,49,20.531,1
25000,44,20.548,1
25000,44,20.548,1
25000,44,20.548,1
25000,44,20.548,1
5000,44,20.548,1
50000,41,20.541,1
50000,41,20.541,1
50000,41,20.541,1
50000,41,20.541,1
10000,41,20.541,1
10000,49,24.647,1
10000,49,24.696,1
20000,45,24.66,1
20000,45,24.705,1
50000,41,24.641,1
50000,41,24.723,1
100000,39,24.648,1
100000,39,24.726,1
420,275,113.3,1
840,275,113.575,1
3360,275,115.225,1
1260,275,120.175,1
1260,275,124.025,1
2520,275,124.025,1
1680,275,124.025,1
1260,275,124.025,1
1260,275,124.3,1
420,275,124.3,1
1260,275,124.3,1
1260,275,124.3,1
420,275,124.3,1
1260,275,124.3,1
420,275,124.3,1
5000,92,57.5,1
5000,92,57.5,1
60000,62,57.66,1
11000,62,62.992,1
55048,62,62.992,1
5000,62,62.992,1
58000,62,62.992,1
56000,62,62.992,1
36000,52.8,57.7632,1
46198,52.8,57.7632,1
2000,52.8,57.7632,1
5000,52.8,62.568,1
5000,52.8,62.9904,1
47800,52.8,68.2176,1
9600,52.8,70.752,1
5000,52.8,70.752,1
8472,52.8,72.3888,1
10250,52.8,72.3888,1
5000,52.8,72.3888,1
21000,52.8,76.9296,1
44500,52.8,79.464,1
5000,52.8,79.464,1
5000,52.8,97.68,1
5000,52.8,97.68,1
173520,53,34.768,1
173520,53,34.768,1
211200,47.5,34.485,1
602320,47.5,34.7225,1
9120,47.5,34.77,1
112032,47.5,34.77,1
225984,47.5,34.77,1
225984,47.5,34.77,1
81408,47.5,34.77,1
13056,47.5,34.77,1
162536,47.5,34.77,1
188384,45,35.685,1
188384,45,35.685,1
127680,45,35.685,1
211936,45,35.685,1
127680,45,35.685,1
69360,45,35.685,1
750,128,90.752,1
12000,29.5,18.998,1
6000,29.5,19.411,1
84440,29.5,19.411,1
108000,28.5,19.437,1
132140,29.5,20.5025,1
107160,28.5,20.4915,1
3000,28.5,20.4915,1
60312,28.5,20.4915,1
6000,28.5,20.7195,1
9000,29.5,25.606,1
12000,29.5,25.606,1
6000,29.5,25.606,1
3808,310,41.23,1
300,310,41.23,1
300,310,41.23,1
4072,310,41.23,1
300,310,41.85,1
3516,310,41.85,1
3808,280,41.44,1
4072,280,41.44,1
1200,280,42,1
2400,260,41.34,1
1200,260,41.34,1
1200,260,41.34,1
3516,260,41.86,1
300,310,55.8,1
1200,280,55.72,1
6000,95,35.34,1
1200,105,42.105,1
1200,105,42.105,1
6000,95,42.085,1
8000,280,123.76,1
8000,280,123.76,1
950,272,123.488,1
8296,350,81.2,1
8296,350,81.2,1
8296,300,69.9,1
8296,250,81,1
100,163,109.21,1
8700,91.4,31.8072,1
3254,86,30.53,1
9530,86,31.82,1
1000,49.5,29.6505,1
280,325,98.475,1
280,325,98.475,1
280,325,98.475,1
280,325,98.475,1
5000,325,98.475,1
1120,196,97.216,1
1120,196,98.392,1
1120,196,98.392,1
1120,196,98.392,1
1120,196,98.392,1
5000,196,98.392,1
11200,131,76.111,1
60000,131,76.111,1
11200,131,77.028,1
11200,131,77.028,1
11200,131,77.028,1
125000,119,76.041,1
75000,119,76.041,1
125000,119,76.993,1
125000,119,76.993,1
150000,119,76.993,1
150000,119,98.294,1
125000,119,98.294,1
6000,125,52,1
6000,125,52,1
6000,125,55.875,1
6000,125,55.875,1
2200,96.5,44.969,1
9600,86.5,44.8935,1
9600,86.5,44.8935,1
9600,86.5,44.98,1
30000,80,42.8,1
30000,80,42.8,1
100000,69,42.78,1
100000,69,42.78,1
30000,80,52.08,1
30000,80,52.08,1
9600,85,55.845,1
100000,69,52.026,1
100000,69,52.026,1
4276,389.2,108.976,1
300,210,34.23,1
1000,210,34.44,1
1000,210,34.44,1
300,210,34.44,1
300,210,34.44,1
10000,190,34.39,1
1200,190,34.39,1
10000,190,34.39,1
5000,190,34.39,1
5000,190,34.39,1
5000,190,34.39,1
5000,190,34.39,1
10000,170,34.34,1
5000,170,34.34,1
5000,170,34.34,1
5000,170,34.51,1
10000,170,34.51,1
10000,170,34.51,1
5000,170,34.85,1
5000,170,34.85,1
5400,175.1,37.6465,1
5400,170,37.57,1
10000,150,34.05,1
15000,150,34.95,1
5000,170,41.48,1
10000,150,41.55,1
1200,68,34.34,1
24000,65,37.57,1
41188,63,32.76,1
41188,63,32.76,1
63412,44,33.836,1
63412,44,33.836,1
40040,44,33.836,1
126496,41,32.144,1
4800,41,32.513,1
1100,101,59.085,1
4500,101,59.994,1
15000,101,60.297,1
825,101,63.933,1
5000,101,63.933,1
825,101,63.933,1
825,101,63.933,1
5000,101,63.933,1
3000,101,65.246,1
1650,125,81,1
5000,84,63.924,1
5000,84,63.924,1
5000,84,63.924,1
825,84,63.924,1
825,84,63.924,1
275,84,63.924,1
275,84,63.924,1
2400,84,63.924,1
4853,84,63.924,1
1100,101,80.396,1
1365,101,81.002,1
1650,101,81.002,1
1650,101,81.002,1
1650,101,81.002,1
1000,101,81.002,1
1100,101,81.103,1
1100,101,81.103,1
875,101,81.103,1
5000,101,81.103,1
50000,72,59.616,1
450,450,130.95,1
20622,415,127.82,1
900,330,103.29,1
2250,410,131.2,1
6150,410,131.2,1
7858,410,131.2,1
6120,410,131.2,1
10000,300,103.2,1
20448,198,57.618,1
5148,190,63.27,1
5148,190,63.27,1
5148,190,66.31,1
5148,190,66.31,1
3396,190,77.14,1
5990,199,181.886,1
500,639,272.853,1
500,639,272.853,1
500,533,272.896,1
500,533,272.896,1
500,533,272.896,1
500,533,272.896,1
500,533,285.688,1
1000,459,246.024,1
500,459,246.024,1
100,549,303.597,1
70,533,298.48,1
500,533,299.013,1
2050,533,299.013,1
1000,485,279.36,1
1000,485,279.36,1
1000,485,279.36,1
500,485,285.665,1
500,459,273.105,1
70,459,273.105,1
500,485,298.76,1
500,485,303.61,1
500,485,303.61,1
2000,485,303.61,1
2000,485,303.61,1
500,485,303.61,1
10000,149,51.107,1
200,149,51.405,1
200,149,51.405,1
300,130,46.8,1
300,130,46.8,1
264508,130,46.93,1
300,130,46.93,1
300,130,46.93,1
300,130,46.93,1
200,140,51.38,1
300,130,50.96,1
300,130,50.96,1
300,130,50.96,1
300,130,50.96,1
300,130,50.96,1
300,130,53.56,1
500,112,46.816,1
500,112,46.816,1
264508,112,46.928,1
500,112,46.928,1
500,112,46.928,1
500,112,46.928,1
500,112,47.04,1
500,119.5,51.0265,1
500,119.5,51.0265,1
10000,119.5,51.146,1
900,119.5,51.385,1
2000,119.5,51.385,1
500,112,50.96,1
4999,112,50.96,1
500,112,51.072,1
500,112,51.072,1
10000,112,51.184,1
900,112,51.408,1
5000,112,51.408,1
5000,112,51.744,1
5000,112,51.744,1
5000,112,51.744,1
2250,112,52.304,1
500,112,53.536,1
10000,85,46.835,1
10000,85,46.835,1
264508,85,46.92,1
10000,85,46.92,1
10000,85,46.92,1
10000,85,46.92,1
6100,85,47.005,1
5000,85,47.005,1
9000,85,51,1
10000,85,51,1
10000,85,51,1
10000,85,51,1
5000,85,51,1
20100,85,51,1
135000,85,51.51,1
135000,85,51.765,1
135000,85,51.765,1
45000,85,52.275,1
10000,85,53.55,1
500,620,271.56,1
500,620,271.56,1
500,470,244.4,1
500,517,271.425,1
500,517,271.425,1
500,517,271.425,1
500,517,271.425,1
1000,474,256.434,1
500,547,297.021,1
2050,547,297.021,1
70,547,297.021,1
1000,470,256.62,1
1000,470,256.62,1
100,515,292.52,1
500,470,271.19,1
70,470,271.19,1
500,470,271.66,1
500,449,271.196,1
500,470,292.34,1
500,470,292.81,1
2000,470,292.81,1
2000,470,292.81,1
500,470,292.81,1
500,470,297.04,1
15000,223,53.743,1
1250,223,76.043,1
1250,223,76.043,1
3125,223,80.726,1
3125,223,80.726,1
52,430,58.91,1
52,430,58.91,1
800,410,58.63,1
3200,410,58.63,1
6400,410,58.63,1
5600,410,58.63,1
500,410,59.04,1
500,410,59.04,1
1600,410,59.04,1
800,410,59.04,1
800,410,59.04,1
2113,410,59.04,1
2113,410,59.04,1
105840,161.2,183.9292,1
51012,151,185.579,1
5040,260,170.56,1
5040,260,170.56,1
5000,260,170.56,1
5000,260,170.56,1
1250,385,39.27,1
2500,385,42.735,1
1250,451,84.788,1
1300,451,85.239,1
1250,451,105.534,1
1300,451,106.436,1
20000,76,23.332,1
132356,76,23.332,1
12874,76,23.332,1
43200,76,23.332,1
20000,76,25.308,1
12874,76,25.308,1
1800,76,25.308,1
14482,76,25.308,1
41644,75,25.35,1
51116,75,25.35,1
1800,69,25.323,1
70200,69,25.323,1
40000,69,25.323,1
70000,57,22.743,1
28624,57,22.743,1
28624,57,25.308,1
40000,69,32.085,1
70000,69,32.154,1
70000,69,32.154,1
1800,69,32.154,1
70200,69,32.154,1
1800,69,32.154,1
16200,69,32.154,1
60600,98,53.802,1
60600,98,53.802,1
2700,76,57.228,1
10600,76,57.76,1
10600,76,57.76,1
37400,69,56.58,1
19000,120,53.52,1
19000,120,53.64,1
19000,120,54.48,1
19000,120,54.48,1
8000,215,133.085,1
4070,215,141.685,1
62520,69,41.4,1
62520,69,41.4,1
3420,58,41.412,1
11320,58,43.384,1
11320,58,43.384,1
40280,66,50.82,1
1000,310,94.86,1
1000,160,84.96,1
1000,160,85.92,1
1000,160,85.92,1
500,160,85.92,1
1000,160,86.88,1
650,160,88.96,1
650,160,88.96,1
650,160,102.4,1
1300,160,102.4,1
3000,160,104.96,1
1000,160,104.96,1
650,160,112.16,1
650,160,112.16,1
1000,160,113.44,1
5000,160,113.44,1
3500,705,160.74,1
250,689,160.537,1
12000,78.5,40.5845,1
12000,78.5,40.5845,1
10000,78.5,41.3695,1
12000,78.5,41.3695,1
12000,78.5,43.4105,1
12000,78.5,55.0285,1
20000,78.5,63.3495,1
200,199,105.47,1
200,199,105.47,1
5000,199,115.42,1
2400,199,115.42,1
5000,199,115.818,1
200,199,115.818,1
4560,199,115.818,1
5000,199,115.818,1
4560,195,115.83,1
150,363,195.294,1
500,363,195.294,1
625,363,195.294,1
300,399,219.051,1
300,399,219.051,1
2000,363,200.013,1
300,399,223.041,1
1000,363,203.643,1
1000,363,214.17,1
1750,363,218.889,1
10000,273,169.806,1
4500,209,63.327,1
1500,209,72.523,1
5000,182,72.436,1
200,275,61.875,1
8056,265,62.01,1
3543,275,71.775,1
8056,275,71.775,1
250,275,71.775,1
8056,265,71.815,1
1000,265,71.815,1
10000,157.8,72.1146,1
5000,198,96.228,1
900,210,120.54,1
900,210,120.54,1
3500,362.2,122.7858,1
3500,362.2,125.3212,1
3500,347.7,122.7381,1
3500,347.7,125.172,1
3500,310.5,122.6475,1
3500,310.5,125.1315,1
2520,310.5,125.442,1
3402,310.5,139.4145,1
1500,350,157.5,1
1500,350,157.5,1
2500,336,157.248,1
2500,336,157.248,1
3500,300,157.5,1
3500,300,157.5,1
2800,251,75.551,1
1000,280,101.36,1
1000,251,101.404,1
4060,500,68,1
720,423,15.228,1
650,563,72.064,1
10000,563,72.064,1
150,423,78.678,1
1890,348,139.2,1
90,360,147.24,1
1890,360,147.24,1
100,350,175.35,1
100,350,175.35,1
1800,292.3,161.0573,1
2000,305,179.035,1
2000,305,179.035,1
2000,305,179.035,1
1200,292,175.2,1
1800,292,175.2,1
5000,295,179.065,1
5000,295,179.065,1
5000,295,179.065,1
1200,275,178.75,1
10000,275,179.025,1
10000,275,179.025,1
10000,275,179.025,1
6000,1999,71.964,1
130,199,91.142,1
200,199,91.142,1
545,199,91.142,1
130,199,91.142,1
5720,153,91.188,1
31200,120,89.64,1
36720,125.6,120.3248,1
4500,403.6,84.3524,1
3892,403.6,84.3524,1
750,403.6,88.3884,1
250,390,88.14,1
250,390,88.14,1
3892,390,88.14,1
3892,390,88.14,1
3892,390,88.14,1
1012,1500,214.5,1
200,1150,213.9,1
1500,1150,213.9,1
1012,1150,213.9,1
600,950,207.1,1
500,950,213.75,1
1500,950,213.75,1
1012,950,213.75,1
750,800,213.6,1
1500,800,213.6,1
1012,800,213.6,1
1000,700,214.2,1
1500,700,214.2,1
1012,700,214.2,1
120,600,209.4,1
5000,600,214.2,1
2500,600,214.2,1
800,180.1,43.7643,1
800,180.1,43.7643,1
5600,174,43.674,1
8000,174,52.374,1
8000,174,52.374,1
6000,71,45.298,1
5000,51,32.691,1
1000,69,44.298,1
5000,53.5,35.631,1
6000,53.5,35.631,1
10000,53.5,36.0055,1
6000,53.5,36.0055,1
10000,51.5,35.5865,1
3000,568.8,108.6408,1
2736,568.8,119.448,1
1089,397.2,117.9684,1
1089,238.5,118.0575,1
40000,62,36.89,1
4000,206,114.536,1
4000,206,125.454,1
126,750,179.25,1
126,750,183.75,1
210,750,183.75,1
693,750,183.75,1
693,750,183.75,1
1880,368,156.4,1
1880,368,156.4,1
100,330,156.42,1
1880,330,156.42,1
7070,316,152.944,1
4584,320,156.48,1
500,315,155.61,1
7070,299,152.789,1
11000,298,155.556,1
4584,299,156.676,1
35000,280,155.4,1
100000,189,155.547,1
5000,205,93.48,1
450,254,0,1
450,254,0,1
625,254,0,1
1750,254,107.188,1
300,295,137.765,1
300,295,137.765,1
300,295,137.765,1
1000,295,137.765,1
1050,254,123.698,1
1000,254,137.922,1
5000,204,34.476,1
1500,204,34.884,1
74700,204,37.536,1
10000,187,37.587,1
70000,165,37.62,1
5000,204,47.532,1
3300,180,87.3,1
3300,180,87.3,1
8000,180,87.3,1
5000,180,87.3,1
5000,180,87.3,1
12000,180,87.3,1
1500,175,87.325,1
3300,183,109.617,1
12000,145,87.29,1
12000,145,87.29,1
1000,195,123.24,1
5047,290,142.39,1
100,309,177.675,1
5000,309,178.911,1
1000,295,177.885,1
500,295,177.885,1
5000,295,179.065,1
5000,286,177.892,1
5000,286,179.036,1
5047,286,179.036,1
10000,283,177.724,1
25000,278,177.642,1
500,440,99.44,1
500,440,100.32,1
1000,262,105.586,1
1000,262,105.586,1
5000,191,79.074,1
5000,191,79.074,1
1000,242,100.43,1
1000,242,100.43,1
5000,191,79.265,1
5500,249.3,105.4539,1
1000,242,105.512,1
1000,242,105.512,1
5000,242,105.512,1
5000,191,105.432,1
5000,175,105.525,1
6000,105,82.95,1
50000,93,65.286,1
3500,105,80.955,1
9000,105,82.95,1
50000,105,82.95,1
500,105,82.95,1
5000,105,82.95,1
2000,105,83.055,1
10000,93,82.956,1
50000,93,82.956,1
800,441,123.039,1
1400,415,122.425,1
400,415,122.84,1
200,415,123.255,1
1000,375,115.5,1
6000,378,122.472,1
200,270,57.51,1
200,270,57.51,1
200,270,57.51,1
475,270,57.51,1
200,270,57.51,1
200,270,57.51,1
200,270,57.51,1
5788,270,57.51,1
13900,270,57.51,1
14800,270,57.51,1
1900,230,57.5,1
5700,230,57.5,1
5700,230,57.5,1
5700,230,57.5,1
5700,230,57.5,1
5700,230,57.5,1
5700,230,57.5,1
5788,230,57.5,1
13900,230,57.5,1
14800,230,57.5,1
5700,210,57.54,1
5700,210,57.54,1
5700,230,73.37,1
5700,230,73.37,1
5700,230,73.37,1
1900,230,73.37,1
11400,115.8,57.4368,1
11400,115.8,57.4368,1
11400,115.8,57.4368,1
11400,115.8,57.4368,1
11400,115.8,57.4368,1
11400,115.8,57.4368,1
14800,115.8,57.4368,1
14800,115.8,57.4368,1
11400,115.8,57.9,1
11400,115.8,73.4172,1
11400,115.8,73.4172,1
400,223,68.684,1
400,223,68.684,1
400,223,68.684,1
10000,158,51.824,1
10000,158,51.824,1
9600,158,54.194,1
1600,158,54.194,1
1600,191,68.569,1
1600,191,68.569,1
1600,191,68.569,1
1600,191,69.142,1
400,136,50.456,1
400,136,50.456,1
400,136,50.456,1
400,136,50.456,1
3200,140,54.18,1
1600,129,50.439,1
1600,129,50.439,1
1600,129,50.439,1
1600,129,50.439,1
5000,121,50.457,1
5000,121,50.457,1
5000,121,50.457,1
5000,121,50.457,1
400,129,55.728,1
400,129,55.728,1
400,129,55.728,1
9600,158,68.73,1
9600,158,68.73,1
9600,158,68.73,1
24000,158,69.046,1
400,129,56.76,1
400,129,56.76,1
400,129,56.76,1
2000,121,55.66,1
2000,121,55.66,1
2000,121,55.66,1
2000,121,56.749,1
2000,121,56.749,1
2000,121,56.749,1
60000,140,69.3,1
24000,121,60.016,1
400,136,69.088,1
400,136,69.088,1
1600,132,69.168,1
1600,132,69.168,1
24000,121,69.091,1
20000,148,96.348,1
20520,133,102.144,1
68,151.9,129.115,1
5100,148,129.056,1
9960,148,129.056,1
2000,450,86.85,1
1000,210,111.93,1
1000,240,142.08,1
2000,240,142.08,1
1000,240,142.08,1
2000,240,142.08,1
3722,240,155.04,1
3450,210,141.96,1
3600,210,142.17,1
10990,260,130.26,1
270,260,142.74,1
270,260,142.74,1
50000,149,70.626,1
50000,149,76.139,1
2400,165,56.43,1
4500,165,56.43,1
4500,111,56.388,1
4500,111,71.817,1
5600,87,56.376,1
5600,87,56.376,1
